drug_name,medical_condition,side_effects,generic_name,drug_classes,activity,rx_otc,pregnancy_category,related_drugs
Aczone,Acne,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Aczone may cause methemoglobinemia (met-HEEM-oh glo-bin-EE-mee-a), a serious condition in which the amount of oxygen in your blood stream becomes dangerously low. Stop using this medicine and call your doctor at once if you notice a blue or gray appearance of your lips, fingernails, or the inside of your mouth. Call your doctor at once if you have: severe sore throat; unusual thoughts or behavior; a red blood cell disorder - back pain, pale or yellowed skin, dark colored urine, fever, confusion or weakness; pancreas problems - severe pain in your upper stomach spreading to your back, nausea and vomiting, fast heart rate; or severe skin reaction - fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. Common Aczone side effects may include: dry or peeling skin; oily skin; or redness where the medicine was applied.",dapsone topical,Topical acne agents,13%,RX,C,doxycycline|clindamycin topical|erythromycin topical|tetracycline|Tazorac
benzoyl peroxide,Acne,"Benzoyl peroxide topical can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call your doctor at once if you have any of these side effects on the treated skin: severe itching or burning; severe stinging or redness; swelling; or peeling. Common side effects of benzoyl peroxide topical may include: mild stinging or burning; itching or tingly feeling; skin dryness, peeling, or flaking; or redness or other irritation.",benzoyl peroxide topical,Topical acne agents,13%,RX/OTC,C,doxycycline|metronidazole topical|clindamycin topical|erythromycin topical|ivermectin topical|tetracycline|minocycline topical|brimonidine topical|oxymetazoline topical|MetroGel
Differin,Acne,"hives, itching; chest pain, difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: skin redness, stinging, burning, or peeling after sun exposure. Some side effects may occur during the first 4 weeks of using this medicine. These side effects should become less noticeable with continued use. Common Differin side effects may include: dry, red, or scaly skin; feeling of warmth and mild stinging or burning; peeling skin; or skin pain.",adapalene topical,Topical acne agents,12%,RX/OTC,C,doxycycline|clindamycin topical|erythromycin topical|tetracycline|Tazorac
Epiduo,Acne,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. Stop using this medicine and get emergency medical help if you have: hives , itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat. Epiduo may cause serious side effects. Call your doctor at once if you have: severe redness or swelling of treated skin; severe burning or stinging; or severe dryness or other skin irritation. Common Epiduo side effects may include: dry or scaly skin; skin redness; or burning or stinging.",adapalene and benzoyl peroxide,Topical acne agents,12%,RX,C,
adapalene,Acne,"hives , itching; chest pain, difficult breathing; swelling of your face, lips, tongue, or throat. adapalene topical may cause serious side effects. Stop using adapalene topical and call your doctor at once if you have: skin redness, stinging, burning, or peeling after sun exposure. Some side effects may occur during the first 4 weeks of using this medicine. These side effects should become less noticeable with continued use. Common side effects of adapalene topical may include: dry, red, or scaly skin; feeling of warmth and mild stinging or burning; peeling skin ; or skin pain.",adapalene topical,Topical acne agents,9%,RX/OTC,C,doxycycline|clindamycin topical|erythromycin topical|tetracycline|Tazorac
cephalexin,Acne,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); unusual tiredness, feeling light-headed or short of breath; easy bruising, unusual bleeding, purple or red spots under your skin; a seizure; pale skin, cold hands and feet; yellowed skin, dark colored urine; fever, weakness; or pain in your side or lower back, painful urination. Common cephalexin side effects may include: diarrhea; nausea, vomiting; indigestion , stomach pain; or vaginal itching or discharge.",cephalexin,First generation cephalosporins,9%,RX,B,
Doryx,Acne,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Incidence not known Blistering, peeling, or loosening of the skin bloating chills clay-colored stools constipation cough dark urine decreased appetite diarrhea diarrhea, watery and severe, which may also be bloody difficulty with swallowing dizziness fast heartbeat feeling of discomfort fever headache hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue hives or welts, itching, or rash increased thirst indigestion inflammation of the joints joint or muscle pain large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs loss of appetite nausea numbness or tingling of the face, hands, or feet pain in the stomach, side, or abdomen, possibly radiating to the back red skin lesions, often with a purple center redness and soreness of the eyes redness of the skin sore throat sores, ulcers, or white spots in the mouth or on the lips stomach cramps stomach pain or tenderness swelling of the feet or lower legs swollen, painful, or tender lymph glands in the neck, armpit, or groin tightness in the chest unusual tiredness or weakness unusual weight loss vomiting yellow eyes or skin Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Back, leg, or stomach pains black, tarry stools bleeding gums blood in the urine or stools blurred vision bulging soft spot on the head of an infant change in the ability to see colors, especially blue or yellow chest pain, discomfort, or burning cracks in the skin decrease in vision difficulty breathing discoloration of the thyroid glands double vision general body swelling heartburn increased sensitivity of the skin to sunlight loss of heat from the body lower back or side pain nosebleeds pain or burning in the throat pain with swallowing painful or difficult urination pale skin pinpoint red spots on the skin rash with flat lesions or small raised lesions on the skin red, swollen skin redness or other discoloration of the skin redness, swelling, or soreness of the tongue scaly skin severe nausea severe stomach pain severe sunburn tooth discoloration unusual bleeding or bruising vomiting blood Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Doryx side effects",doxycycline,Miscellaneous antimalarials|Tetracyclines,9%,RX,D,amoxicillin|prednisone|albuterol|doxycycline|ciprofloxacin|azithromycin|cephalexin|metronidazole|metronidazole topical|clindamycin
tetracycline,Acne,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe blistering, peeling, and red skin rash; fever, chills, body aches, flu symptoms; pale or yellowed skin, easy bruising or bleeding; any signs of a new infection. Common tetracycline side effects may include: nausea, vomiting, diarrhea, upset stomach, loss of appetite; white patches or sores inside your mouth or on your lips; swollen tongue, black or ""hairy"" tongue, trouble swallowing; sores or swelling in your rectal or genital area; or vaginal itching or discharge.",tetracycline,Tetracyclines,9%,RX,D,
Septra,Acne,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); a skin rash, no matter how mild; yellowing of your skin or eyes; a seizure; new or unusual joint pain; increased or decreased urination; swelling, bruising, or irritation around the IV needle; increased thirst, dry mouth, fruity breath odor; new or worsening cough, fever, trouble breathing; high potassium level - nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; low sodium level - headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady; or low blood cell counts - fever, chills, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common Septra side effects may include: nausea , vomiting, loss of appetite; or skin rash.",sulfamethoxazole and trimethoprim,Sulfonamides,8%,RX,D,
Solodyn,Acne,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Call your doctor at once if you have: bronchospasm (wheezing, chest tightness, trouble breathing); a seizure; kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; low blood cell counts - fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; increased pressure inside the skull - severe headaches, ringing in your ears, dizziness, vision problems, pain behind your eyes; or signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, loss of appetite, easy bruising or bleeding, dark urine, jaundice (yellowing of the skin or eyes). Common Solodyn side effects may include: numbness , tingling, burning pain; hair loss ; discoloration of you skin or nails. dizziness, spinning sensation; muscle or joint pain; nausea, diarrhea, loss of appetite; swollen tongue, cough, trouble swallowing; rash, itching; or headache .",minocycline,Tetracyclines,8%,RX,D,doxycycline|clindamycin topical|erythromycin topical|tetracycline|Tazorac
Tazorac,Acne,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Tazorac and call your doctor at once if you have: severe skin irritation (pain, dryness, flaking, peeling, burning, stinging, itching) after applying the medicine; blistering or peeling skin ; severe redness or discomfort; or swelling, warmth, oozing, or other signs of skin infection . Common Tazorac side effects may include: dry, scaly, or peeling skin; skin pain, redness or burning; or itching or other irritation of treated skin.",tazarotene topical,Topical acne agents|Topical antipsoriatics,8%,RX,X,Cosentyx|Enbrel|Humira|Otezla|Stelara|Taltz|Duobrii|doxycycline|methotrexate|clindamycin topical
Vibramycin,Acne,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Incidence not known Blistering, peeling, or loosening of the skin bloating chills clay-colored stools constipation cough dark urine decreased appetite diarrhea diarrhea, watery and severe, which may also be bloody difficulty with swallowing dizziness fast heartbeat feeling of discomfort fever headache hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue hives or welts, itching, or rash increased thirst indigestion inflammation of the joints joint or muscle pain large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs loss of appetite nausea numbness or tingling of the face, hands, or feet pain in the stomach, side, or abdomen, possibly radiating to the back red skin lesions, often with a purple center redness and soreness of the eyes redness of the skin sore throat sores, ulcers, or white spots in the mouth or on the lips stomach cramps stomach pain or tenderness swelling of the feet or lower legs swollen, painful, or tender lymph glands in the neck, armpit, or groin tightness in the chest unusual tiredness or weakness unusual weight loss vomiting yellow eyes or skin Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Back, leg, or stomach pains black, tarry stools bleeding gums blood in the urine or stools blurred vision bulging soft spot on the head of an infant change in the ability to see colors, especially blue or yellow chest pain, discomfort, or burning cracks in the skin decrease in vision difficulty breathing discoloration of the thyroid glands double vision general body swelling heartburn increased sensitivity of the skin to sunlight loss of heat from the body lower back or side pain nosebleeds pain or burning in the throat pain with swallowing painful or difficult urination pale skin pinpoint red spots on the skin rash with flat lesions or small raised lesions on the skin red, swollen skin redness or other discoloration of the skin redness, swelling, or soreness of the tongue scaly skin severe nausea severe stomach pain severe sunburn tooth discoloration unusual bleeding or bruising vomiting blood Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Vibramycin side effects",doxycycline,Miscellaneous antimalarials|Tetracyclines,8%,RX,D,
Acticlate,Acne,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. Chest pain or pressure or a fast heartbeat . Not able to pass urine or change in how much urine is passed. Fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. Throat irritation. Trouble swallowing. Muscle or joint pain. Fast breathing. Flushing. Very bad dizziness or passing out. Change in skin color. Swollen gland. Vaginal itching or discharge. Diarrhea is common with antibiotics . Rarely, a severe form called C diff–associated diarrhea ( CDAD ) may happen. Sometimes, this has led to a deadly bowel problem ( colitis ). CDAD may happen during or a few months after taking antibiotics. Call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. Check with your doctor before treating diarrhea. Raised pressure in the brain has happened with Acticlate (doxycycline tablets and capsules). Most of the time, this will go back to normal after Acticlate (doxycycline tablets and capsules) is stopped. Sometimes, loss of eyesight may happen and may not go away even after Acticlate (doxycycline tablets and capsules) is stopped. Call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. Acticlate side effects",Doxycycline Tablets and Capsules,Tetracyclines,7%,RX,D,doxycycline|ciprofloxacin|azithromycin|clindamycin topical|ceftriaxone|levofloxacin|erythromycin topical|erythromycin|Zithromax|ofloxacin
benzoyl peroxide / clindamycin,Acne,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using benzoyl peroxide and clindamycin topical and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe redness, burning, stinging, or peeling of treated skin areas; or diarrhea that is watery or bloody. Common side effects of benzoyl peroxide and clindamycin topical may include: mild burning or stinging; itching or tingly feeling; dryness or peeling of treated skin; or redness or other irritation.",benzoyl peroxide and clindamycin topical,Topical acne agents,7%,RX,C,doxycycline|clindamycin topical|erythromycin topical|tetracycline|Tazorac
Doxy 100,Acne,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. Chest pain or pressure or a fast heartbeat . Not able to pass urine or change in how much urine is passed. Fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. Throat irritation. Trouble swallowing. Muscle or joint pain. Fast breathing. Flushing. Very bad dizziness or passing out. Change in skin color. Swollen gland. Vaginal itching or discharge. Diarrhea is common with antibiotics . Rarely, a severe form called C diff–associated diarrhea ( CDAD ) may happen. Sometimes, this has led to a deadly bowel problem ( colitis ). CDAD may happen during or a few months after taking antibiotics. Call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. Check with your doctor before treating diarrhea. Raised pressure in the brain has happened with Doxy 100 (doxycycline injection). Most of the time, this will go back to normal after Doxy 100 (doxycycline injection) is stopped. Sometimes, loss of eyesight may happen and may not go away even after Doxy 100 (doxycycline injection) is stopped. Call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. Doxy 100 side effects",Doxycycline Injection,Miscellaneous antimalarials|Tetracyclines,7%,RX,D,
Keflex,Acne,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); unusual tiredness, feeling light-headed or short of breath; easy bruising, unusual bleeding, purple or red spots under your skin; a seizure; pale skin, cold hands and feet; yellowed skin, dark colored urine; fever, weakness; or pain in your side or lower back, painful urination. Common Keflex side effects may include: diarrhea; nausea, vomiting; indigestion , stomach pain; or vaginal itching or discharge.",cephalexin,First generation cephalosporins,7%,RX,B,
sulfamethoxazole / trimethoprim,Acne,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. Sulfamethoxazole and trimethoprim may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); any skin rash, no matter how mild; yellowing of your skin or eyes; a seizure; new or unusual joint pain; increased or decreased urination; swelling, bruising, or irritation around the IV needle; increased thirst, dry mouth, fruity breath odor; new or worsening cough, fever, trouble breathing; high blood potassium-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; low blood sodium-- headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or low blood cell counts--fever, chills, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of sulfamethoxazole and trimethoprim may include: nausea, vomiting, loss of appetite; or skin rash.",sulfamethoxazole and trimethoprim,Sulfonamides,7%,RX,D,amoxicillin|prednisone|doxycycline|ciprofloxacin|azithromycin|cephalexin|metronidazole|clindamycin|Augmentin|ceftriaxone
Benzaclin,Acne,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have any of these serious side effects: severe redness, burning, stinging, or peeling of treated skin areas; or diarrhea that is watery or bloody. Less serious Benzaclin side effects may include: mild burning or stinging; itching or tingly feeling; dryness or peeling of treated skin; or redness or other irritation.",benzoyl peroxide and clindamycin topical,Topical acne agents,6%,RX,C,doxycycline|clindamycin topical|erythromycin topical|tetracycline|Tazorac
Monodox,Acne,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Incidence not known Blistering, peeling, or loosening of the skin bloating chills clay-colored stools constipation cough dark urine decreased appetite diarrhea diarrhea, watery and severe, which may also be bloody difficulty with swallowing dizziness fast heartbeat feeling of discomfort fever headache hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue hives or welts, itching, or rash increased thirst indigestion inflammation of the joints joint or muscle pain large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs loss of appetite nausea numbness or tingling of the face, hands, or feet pain in the stomach, side, or abdomen, possibly radiating to the back red skin lesions, often with a purple center redness and soreness of the eyes redness of the skin sore throat sores, ulcers, or white spots in the mouth or on the lips stomach cramps stomach pain or tenderness swelling of the feet or lower legs swollen, painful, or tender lymph glands in the neck, armpit, or groin tightness in the chest unusual tiredness or weakness unusual weight loss vomiting yellow eyes or skin Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Back, leg, or stomach pains black, tarry stools bleeding gums blood in the urine or stools blurred vision bulging soft spot on the head of an infant change in the ability to see colors, especially blue or yellow chest pain, discomfort, or burning cracks in the skin decrease in vision difficulty breathing discoloration of the thyroid glands double vision general body swelling heartburn increased sensitivity of the skin to sunlight loss of heat from the body lower back or side pain nosebleeds pain or burning in the throat pain with swallowing painful or difficult urination pale skin pinpoint red spots on the skin rash with flat lesions or small raised lesions on the skin red, swollen skin redness or other discoloration of the skin redness, swelling, or soreness of the tongue scaly skin severe nausea severe stomach pain severe sunburn tooth discoloration unusual bleeding or bruising vomiting blood Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Monodox side effects",doxycycline,Miscellaneous antimalarials|Tetracyclines,6%,RX,D,
